Timestamp,program,gender,AGE,HEIGHT,WEIGHT,SALARY_OLD,SALARY_GRAD,DESIRE_WORK_ORG,PARENTS,EXPENSES,TRANSPORT,COST_TRANSPORTATION,COST_ENTERTAINMENT,HAND,CELL_PHONE,SMOKE,foot_size,alcohol,tattoo,sleep,social,homework,work,travel,tuition,coffee,BMI,place,hours
2019/02/04 11:26:35 am GMT-8,HRMG,female,22.0,177.8,110.0,1400.0,4000.0,3. NON-PROFIT OR GOVERNMENT AGENCY,False,700.0,1. WALK,0.0,100.0,0. RIGHT-HANDED,68.0,False,11.12,0.0,True,8.0,10.0,10.0,0.0,True,False,0.0,34.8,Burnaby,300
2019/02/04 11:27:45 am GMT-8,HRMG,female,24.0,175.0,63.0,2000.0,3750.0,2. SMALL COMPANY,True,300.0,3. DRIVE,600.0,150.0,0. RIGHT-HANDED,60.0,False,9.5,0.0,True,8.0,7.0,20.0,0.0,True,True,2.0,20.57,Burnaby,300
2019/02/04 11:27:46 am GMT-8,HRMG,male,24.0,182.88,100.0,2000.0,3500.0,2. SMALL COMPANY,True,200.0,3. DRIVE,100.0,150.0,1. LEFT-HANDED,82.0,False,10.5,1.0,False,6.0,20.0,20.0,8.0,True,False,0.0,29.9,Burnaby,300
2019/02/04 11:29:06 am GMT-8,HRMG,female,34.0,5.0,61.3,2500.0,3500.0,1. LARGE CORPORATION,True,300.0,3. DRIVE,500.0,400.0,0. RIGHT-HANDED,70.0,False,7.0,0.0,True,7.0,14.0,20.0,0.0,True,False,1.0,24520.0,Burnaby,300
2019/02/04 11:29:12 am GMT-8,HRMG,female,24.0,160.0,54.0,0.0,3800.0,2. SMALL COMPANY,True,500.0,3. DRIVE,300.0,100.0,0. RIGHT-HANDED,90.0,False,8.0,0.0,False,6.0,6.0,11.0,0.0,True,True,1.0,21.09,Burnaby,300
2019/02/04 11:29:30 am GMT-8,HRMG,female,24.0,164.0,65.0,2500.0,5000.0,2. SMALL COMPANY,True,500.0,2. PUBLIC TRANSPORT,40.0,150.0,0. RIGHT-HANDED,55.0,False,9.25,0.0,False,7.0,20.0,25.0,0.0,True,True,0.0,24.17,Burnaby,300
2019/02/04 11:29:38 am GMT-8,HRMG,female,27.0,153.0,55.0,2300.0,3000.0,2. SMALL COMPANY,False,400.0,3. DRIVE,600.0,100.0,0. RIGHT-HANDED,120.0,False,6.0,0.0,True,7.0,8.0,25.0,12.0,True,True,1.0,23.5,Burnaby,300
2019/02/04 11:34:05 am GMT-8,HRMG,male,40.0,185.0,90.0,2000.0,4000.0,1. LARGE CORPORATION,False,3000.0,2. PUBLIC TRANSPORT,50.0,200.0,0. RIGHT-HANDED,80.0,False,13.0,0.0,True,7.0,3.0,14.0,0.0,True,False,3.0,26.3,Burnaby,300
2019/02/04 11:35:08 am GMT-8,HRMG,male,25.0,165.0,70.3,1300.0,1600.0,1. LARGE CORPORATION,True,300.0,3. DRIVE,50.0,100.0,0. RIGHT-HANDED,45.0,False,8.5,0.0,False,7.0,4.0,12.0,3.5,True,True,0.25,25.82,Burnaby,300
2019/02/04 11:36:01 am GMT-8,HRMG,female,25.0,163.0,52.0,38000.0,43000.0,1. LARGE CORPORATION,True,500.0,3. DRIVE,20.0,150.0,0. RIGHT-HANDED,45.0,False,9.5,0.0,False,6.0,20.0,20.0,8.0,True,False,2.0,19.57,Burnaby,300
