"Timestamp","What is your program?","What is your gender?","What is your AGE as of your last birthday?","What is your HEIGHT (to the nearest centimetre)?","What is your WEIGHT (to the nearest kilogram)?","What was your AVERAGE MONTHLY SALARY (to the nearest $100) at your last full time employment prior to enrolling at BCIT?","What MONTHLY SALARY (to the nearest $100) would you EXPECT if you were to seek employment immediately after obtaining your diploma?","After graduation, for which one of the following TYPES OF ORGANIZATION would you most prefer to work?","Do you LIVE WITH YOUR PARENTS? ","What are your MONTHLY EXPENSES for FOOD and LODGING?","What MODE of TRANSPORT do you use most often to get to and from BCIT?","What is your COST per MONTH for TRANSPORTATION to and from BCIT?","What is your COST per MONTH for ENTERTAINMENT?","Are you right-handed, Left-handed or ambidextrous?","What is your COST per MONTH for your CELL PHONE?","Do you SMOKE cigarettes? ","What is your foot size in INCHES?","How many alcoholic drinks do you have per week?","Do you have a tattoo?","On average, how many hours per night do you sleep?","How much time in hours do you spend each week on social netorking sites?","How many hours per week do you spend studying/doing homework?","How many hours a week are you working (part-time or full-time employment) outside of BCIT?","Have you traveled outside of North America?","Do you pay entirely for your own tuition?","How many cups of coffee do you drink on average each day?"
"2019/02/04 11:26:35 am GMT-8","HRMG","Female","22","177.8","110","1400","4000","3. Non-profit or Government Agency","No","700","1. Walk","0","100","0. Right-handed","68","No","11.12","0","Yes","8","10","10","0","Yes","No","0"
"2019/02/04 11:27:45 am GMT-8","HRMG","Female","24","175","63","2000","3750","2. Small Company","Yes","300","3. Drive","600","150","0. Right-handed","60","No","9.5","0","Yes","8","7","20","0","Yes","Yes","2"
"2019/02/04 11:27:46 am GMT-8","HRMG","Male","24","182.88","100","$2000","$3500","2. Small Company","Yes","$200","3. Drive","$100","$150","1. Left-handed","$82","No","10.5","1","No","6","20","20","8","Yes","No","0"
"2019/02/04 11:29:06 am GMT-8","HRMG","Female","34","5'4","61.3KG","2500","3500","1. Large Corporation","Yes","300","3. Drive","500","400","0. Right-handed","70","No","7","0","Yes","7-8","14","20","0","Yes","No","1"
"2019/02/04 11:29:12 am GMT-8","HRMG","Female","24","160","54","0","3800","2. Small Company","Yes","500","3. Drive","300","100","0. Right-handed","90","No","size 8 in inches","0-3","No","6-7","6 hours","11 hours","0","Yes","Yes","1"
"2019/02/04 11:29:30 am GMT-8","HRMG","Female","24","164","65","2500","5000","2. Small Company","Yes","500","2. Public Transport","40","150","0. Right-handed","55","No","9.25","0","No","7","20","25","0","Yes","Yes","0"
"2019/02/04 11:29:38 am GMT-8","HRMG","Female","27","153","55","$2300","$3000","2. Small Company","No","$400","3. Drive","$600","$100","0. Right-handed","$120","No","6","0","Yes","7","8","25","12","Yes","Yes","1"
"2019/02/04 11:31:56 am GMT-8","HRMG","Female","27","","","0","3500","2. Small Company","Yes","$100","2. Public Transport","Part of tuition","$50 to $75","0. Right-handed","$60","No","","1","No","5","2 ","28","","Yes","No","1"
"2019/02/04 11:33:25 am GMT-8","HRMG","Male","","","","","","1. Large Corporation","No","","3. Drive","","","2. Ambidextrous","","No","","","Yes","","","","","Yes","No","1"
"2019/02/04 11:34:05 am GMT-8","HRMG","Male","40","185","90","2000","4000","1. Large Corporation","No","3000","2. Public Transport","50","200","0. Right-handed","80","No","13","0","Yes","7","3","14","0","Yes","No","3"
"2019/02/04 11:35:08 am GMT-8","HRMG","Male","25","165","70.3","$1300","$1600","1. Large Corporation","Yes","300","3. Drive","$50","$100","0. Right-handed","$45","No","8.5","0","No","7","4","12","3.5","Yes","Yes","0.25"
"2019/02/04 11:36:01 am GMT-8","HRMG","Female","25","163","52","38000","43000","1. Large Corporation","Yes","500","3. Drive","20","150","0. Right-handed","45","No","9.5","0","No","6","20","20","8","Yes","No","2"
"2019/02/04 11:39:16 am GMT-8","HRMG","Female","38","1.62","60","3000","3500","3. Non-profit or Government Agency","No","I don't know.","2. Public Transport","41 (U-Pass)","-","0. Right-handed","56","Yes","9","0","No","5","14","too many","0","Yes","No","0"
"2019/02/04 11:40:00 am GMT-8","HRMG","Female","24","162.56","","$1920","","3. Non-profit or Government Agency","Yes","$400","3. Drive","$300","$100","0. Right-handed","$50","Yes","9.75","2","Yes","6","19 hours","30","20","Yes","No","1"
"2019/02/04 11:42:54 am GMT-8","HRMG","Female","22","155.45","50","1600","2500","1. Large Corporation","No","500","2. Public Transport","0","30","0. Right-handed","95","Yes","9.5","0","Yes","10","5","40","0","No","No","3"
